location,district,area,bed,latitude,longitude,price,type
"12 Tritonville Avenue, Sandymount, Dublin 4",4,115 m²,2 Bed,53.3367098,-6.2194253,"€ 595,000",Terrace
"12 Windmill Court, Clonsilla, Dublin 15",15,110 m²,3 Bed,53.3800057,-6.3986169,"€ 320,000",Apartment
"12 Woodford Parade, Clondalkin, Dublin 22",22,72 m²,3 Bed,53.3250065,-6.3822541,"€ 289,000",Semi-D
"12 Zion Road, Rathgar, Dublin 6",6,173 m²,5 Bed,53.3087973,-6.2731882,"€ 1,200,000",Semi-D
"12, Diswelstown View, Castleknock, Dublin 15",15,150 m²,4 Bed,53.3685196,-6.3835328,"€ 670,000",Semi-D
"121 Chapelgate, Saint Alphonsus' Road Upper, Drumcondra, Dublin 9",9,129 m²,4 Bed,53.3652104,-6.2602552,"€ 625,000",Terrace
"122 Downpatrick Road, Crumlin, Dublin 12",12,null,2 Bed,53.3275812,-6.3037719,"€ 320,000",Terrace
"122 Oakcourt Drive, Palmerstown, Dublin 20",20,56 m²,3 Bed,53.3492141,-6.3704511,"€ 395,000",Bungalow
"123 Kilmainham Bank, Kilmainham, Dublin 8",8,63 m²,2 Bed,53.3352807,-6.3129968,"€ 295,000",Apartment
"123 Mellowes Park, Finglas, Dublin 11",11,null,3 Bed,53.3922704,-6.3177117,"€ 249,950",End of Terrace
"124 Cashel Avenue, Crumlin, Dublin 12",12,81 m²,3 Bed,53.3211786,-6.3172135,"€ 260,000",Terrace
"124 Castle Park, Tallaght, Dublin 24",24,null,3 Bed,53.2911295,-6.3446611,"€ 289,950",End of Terrace
"124 Cherrywood Drive, Clondalkin, Dublin 22",22,null,2 Bed,53.320755,-6.4107938,"€ 240,000",Terrace
"124 Cherrywood Drive, Clondalkin, Dublin 22",22,null,2 Bed,53.320755,-6.4107938,"€ 245,000",Terrace
"124 Kiltipper Gate, Tallaght, Dublin 24",24,null,2 Bed,53.2709078,-6.3726657,"€ 229,950",Apartment
"124 Knockmaree, D20HA95, Chapelizod, Dublin 20",20,90 m²,3 Bed,53.346636,-6.3462167,"€ 330,000",Apartment
"124 Lucan Road, Chapelizod, Dublin 20",20,129 m²,4 Bed,53.3513162,-6.3524855,"€ 480,000",Semi-D
"125 Clonliffe Road, Drumcondra, Dublin 3",3,113 m²,3 Bed,53.3620458,-6.2493346,"€ 525,000",Terrace
"125 Clontarf Road, Clontarf, Dublin 3",3,206 m²,4 Bed,53.360547,-6.2046498,"€ 1,500,000",Semi-D
"125 Orchard Way, Ayrfield, Dublin 13",13,65 m²,2 Bed,53.3981138,-6.1793415,"€ 215,000",Apartment
"125 The Tramyard, Inchicore, Dublin 8",8,43 m²,1 Bed,53.340075,-6.3160803,"€ 195,000",Apartment
"126 Churchtown Road Lower, Churchtown, Dublin 14",14,91 m²,3 Bed,53.2913495,-6.2454413,"€ 680,000",Semi-D
"127 Ballyroan Road, Rathfarnham, Dublin 16",16,137 m²,5 Bed,53.2936466,-6.3084904,"€ 630,000",Detached
"127 Cashel Road, Crumlin, Dublin 12",12,null,2 Bed,53.3275812,-6.3037719,"€ 289,950",End of Terrace
"127 Hazelbury Green, Clonee, Dublin 15",15,null,4 Bed,53.4018992,-6.4333905,"€ 385,000",Semi-D
"127 Holywell, Kilmacud Road Upper, Goatstown, Dublin 14",14,155 m²,4 Bed,53.2845861,-6.2279056,"€ 799,000",Semi-D
"128 Bushy Park House, Terenure, Dublin 6W",6W,81 m²,2 Bed,53.3017886,-6.2965723,"€ 475,000",Apartment
"128 The Sweepstakes, Ballsbridge, Dublin 4",4,78 m²,2 Bed,53.3304028,-6.2291962,"€ 520,000",Apartment
"128 Tolka Road, Drumcondra, Dublin 3",3,71 m²,2 Bed,53.3633372,-6.2462558,"€ 375,000",Terrace
"128D Lower Kimmage Road, Harold's Cross, Dublin 6",6,90 m²,3 Bed,53.3189535,-6.2792947,"€ 550,000",Detached
"129 Balrothery Estate, Tallaght, Dublin 24",24,85 m²,3 Bed,53.2906764,-6.3364975,"€ 319,000",Terrace
"129 Kilbarrack Road, Raheny, Kilbarrack, Dublin 5",5,106 m²,3 Bed,53.3892981,-6.1536866,"€ 385,000",Semi-D
"129 Watermill Apartments, Raheny, Dublin 5",5,80 m²,2 Bed,53.3761865,-6.16705,"€ 395,000",Apartment
"12B Wayside Cottages, Kilternan, Dublin 18",18,156 m²,4 Bed,53.238053,-6.1961522,"€ 850,000",Detached
"13 Annfield Close, Castleknock, Carpenterstown, Dublin 15",15,101 m²,2 Bed,53.374884,-6.4046052,"€ 255,000",Apartment
"13 Ballintyre Downs Ballinteer Dublin 16, Ballinteer, Dublin 16",16,125 m²,3 Bed,53.2736054,-6.2526515,"€ 595,000",Semi-D
"13 Bayview, Pembroke Street, Irishtown, Dublin 4",4,100 m²,3 Bed,53.3388607,-6.2215303,"€ 750,000",End of Terrace
"13 Beau Park Terrace, Clongriffin, Dublin 13",13,127 m²,3 Bed,53.4006976,-6.1539994,"€ 350,000",Terrace
"13 Beechfield Meadows, Clonee, Dublin 15",15,null,3 Bed,53.404994,-6.4374081,"€ 319,950",End of Terrace
"13 Carna Road, Ballyfermot, Dublin 10",10,67 m²,3 Bed,53.3405239,-6.364531,"€ 270,000",Terrace
"13 Carndonagh Park, Donaghmede, Dublin 13",13,null,3 Bed,53.3942926,-6.1573788,"€ 340,000",Terrace
"13 Cremorne, Greenmount Road, Terenure, Dublin 6",6,69 m²,2 Bed,53.3096545,-6.2784128,"€ 425,000",Apartment
"13 Cremorne, Terenure, Dublin 6",6,69 m²,2 Bed,53.3096545,-6.2784128,"€ 425,000",Apartment
"13 Curragh Hall Green, Tyrrelstown, Dublin 15",15,null,3 Bed,53.4156867,-6.3871448,"€ 295,000",Semi-D
"13 Ellensborough Drive, Kiltipper, Dublin 24",24,112 m²,3 Bed,53.2671365,-6.3668762,"€ 360,000",Semi-D
"13 Glenview Drive, Tallaght, Dublin 24",24,101 m²,3 Bed,53.287322,-6.3424906,"€ 335,000",Semi-D
"13 Greenridge Court, Blanchardstown, Dublin 15",15,67 m²,2 Bed,53.3946527,-6.3797578,"€ 285,000",Terrace
"13 Inchicore Terrace South, CIE Works, Inchicore, Dublin 8",8,89 m²,3 Bed,53.3403194,-6.3274423,"€ 395,000",Terrace
"13 Knockcree, Carrickmines, Dublin 18",18,158 m²,4 Bed,53.2485067,-6.1812241,"€ 625,000",Semi-D
"13 Larkfield Place, Leopardstown, Dublin 18",18,158 m²,4 Bed,53.257618,-6.1988527,"€ 595,000",Terrace
"13 Louvain, Ardilea, Clonskeagh, Dublin 14",14,135 m²,3 Bed,53.2982544,-6.223052,"€ 895,000",Detached
"13 Marlfield Court, Tallaght, Kiltipper, Dublin 24",24,95 m²,3 Bed,53.2708467,-6.3677447,"€ 275,000",Terrace
"13 Mask Drive, Artane, Dublin 5",5,78 m²,3 Bed,53.3819676,-6.2053405,"€ 330,000",Semi-D
"13 Mayeston Drive, St. Margaret's, Finglas, Dublin 11",11,null,5 Bed,53.4066406,-6.2891478,"€ 335,000",End of Terrace
"13 Mercer House, Brennanstown Square, Cabinteely, Dublin 18",18,78 m²,2 Bed,53.2563086,-6.1496917,"€ 375,000",Apartment
"13 Millmount Terrace, Dundrum, Milltown, Dublin 6",6,65 m²,2 Bed,53.3057017,-6.2458781,"€ 395,000",Terrace
"13 Moyne Court, Ranelagh, Dublin 6",6,74 m²,3 Bed,53.3168022,-6.2538125,"€ 675,000",Terrace
"13 Newlands Manor Fairways, Clondalkin, Dublin 22",22,null,3 Bed,53.3073812,-6.4071834,"€ 295,000",Duplex
"13 North Circular Road, North Circular Road, Dublin 7",7,231 m²,8 Bed,53.3529566,-6.2973059,"€ 1,050,000",Terrace
"13 North Street, Ongar Village, Ongar, Dublin 15",15,null,4 Bed,53.3964177,-6.4400194,"€ 374,950",End of Terrace
"13 Northbrook Terrace North Strand Dublin 3, North Strand, Dublin 3",3,96 m²,2 Bed,53.3571294,-6.2397793,"€ 450,000",Terrace
"13 O'Donovan Road, South Circular Road, Dublin 8",8,85 m²,3 Bed,53.3347202,-6.2794811,"€ 450,000",Terrace
"13 Park Drive Green, Castleknock, Dublin 15",15,null,3 Bed,53.3737274,-6.3692944,"€ 450,000",Semi-D
"13 Pigeon House Road, Ringsend, Dublin 4",4,47 m²,2 Bed,53.3435108,-6.2212043,"€ 325,000",Terrace
"13 Saint Joseph's Place, Nelson Street, Phibsborough, Dublin 7",7,53 m²,2 Bed,53.3568565,-6.2659255,"€ 299,000",Bungalow
"13 Stralem Court, Ongar Park, Ongar, Dublin 15",15,78 m²,2 Bed,53.3926306,-6.4333894,"€ 275,000",Detached
"13 The Weir, Chapelizod, Dublin 20",20,52 m²,1 Bed,53.3493249,-6.3452622,"€ 220,000",Apartment
"13 Tymon Close, Oldbawn, Dublin 24",24,118 m²,4 Bed,53.2789149,-6.3653473,"€ 375,000",Semi-D
"13 Tymon North Gardens, Tallaght, Dublin 24",24,84 m²,3 Bed,53.2944952,-6.3444756,"€ 275,000",Terrace
"130 Collins Park, Whitehall, Beaumont, Dublin 9",9,103 m²,3 Bed,53.380118,-6.2272364,"€ 375,000",Terrace
"130 Dean Swift Road, Glasnevin, Dublin 11",11,97 m²,3 Bed,53.3853995,-6.2708112,"€ 435,000",Semi-D
"131 Greenlea Road, Terenure, Dublin 6W",6W,108 m²,3 Bed,53.3073483,-6.2987776,"€ 795,000",Semi-D
"131 Wheatfields Road, Palmerstown, Dublin 20",20,86 m²,3 Bed,53.3492974,-6.3690179,"€ 345,000",Semi-D
"131 Willow Park Road, Glasnevin, Dublin 11",11,null,3 Bed,53.3960206,-6.2802689,"€ 349,950",Semi-D
"132 Annamoe Drive, Cabra, D07P4A4, Dublin 7",7,74 m²,3 Bed,53.360229,-6.285565,"€ 340,000",Terrace
"132 Church Road, East Wall, Dublin 3",3,86 m²,2 Bed,53.3559331,-6.2341991,"€ 375,000",Terrace
"132 Clanranald Road, Donnycarney, Dublin 5",5,89 m²,3 Bed,53.3757875,-6.2106426,"€ 385,000",Semi-D
"132a Smithfield Market, Smithfield, Dublin 7",7,53 m²,1 Bed,53.3488517,-6.2790655,"€ 295,000",Apartment
"133 Hunters Green, Ballycullen, Dublin 16",16,null,2 Bed,53.2699285,-6.3323391,"€ 295,000",Detached
"134 Cappagh Road, Finglas West, Finglas, Dublin 11",11,null,3 Bed,53.3887409,-6.3096242,"€ 245,000",Terrace
"134 Morehampton Road, Donnybrook, Dublin 4",4,123 m²,3 Bed,53.3274149,-6.2433113,"€ 900,000",Terrace
"135 Lansdowne Park, Ballsbridge, Dublin 4",4,97 m²,3 Bed,53.3353518,-6.2364336,"€ 895,000",Detached
"136 Brookwood Avenue, Killester, Dublin 5",5,115 m²,3 Bed,53.3763921,-6.1957129,"€ 570,000",Semi-D
"136 Castlemoyne, Balgriffin, Dublin 13",13,null,5 Bed,53.4098017,-6.1680142,"€ 560,000",Semi-D
"136D Seven Oaks, Inchicore, Dublin 8",8,48 m²,1 Bed,53.3415674,-6.32729,"€ 225,000",Apartment
"137 Celtic Park Avenue, Beaumont, Dublin 9",9,null,3 Bed,53.3823937,-6.2444255,"€ 395,000",Terrace
"137 Celtic Park Avenue, Whitehall, Dublin 9",9,null,3 Bed,53.3792927,-6.2272802,"€ 395,000",Terrace
"137 Lymewood Mews, Northwood, Santry, Dublin 9",9,76 m²,2 Bed,53.4041122,-6.2600368,"€ 249,950",Apartment
"138 Collins Avenue East, Donnycarney, Dublin 5",5,null,2 Bed,53.374184,-6.2132572,"€ 375,000",Terrace
"138 Lucan Road, Palmerstown, Dublin 20",20,127 m²,4 Bed,53.3516108,-6.3535075,"€ 450,000",Semi-D
"139A Coolamber Park, Knocklyon, Dublin 16",16,97 m²,2 Bed,53.2875593,-6.3141777,"€ 450,000",Detached
"14 Abbey Court, Irish Life, Lower Abbey Street, Dublin 1",1,45 m²,1 Bed,53.3500122,-6.256174,"€ 235,000",Apartment
"14 Auburn Avenue, Donnybrook, Dublin 4",4,185 m²,4 Bed,53.3240315,-6.2368457,"€ 1,450,000",End of Terrace
"14 Bective Square, Phibsborough, Dublin 7",7,39 m²,1 Bed,53.362438,-6.2709618,"€ 230,000",Apartment
"14 Belmont Hall, Gardiner Street Lower, Dublin 1",1,44 m²,1 Bed,53.3524615,-6.2702534,"€ 210,000",Apartment
"14 Burton House, Custom House Square, Dublin 1",1,48 m²,1 Bed,53.3497156,-6.2434861,"€ 315,000",Apartment
"14 Chapelwood View, Hollystown, Dublin 15",15,null,5 Bed,53.4321053,-6.374319,"€ 495,000",Semi-D
"14 Dunsoghly Park, Finglas, Dublin 11",11,null,3 Bed,53.3898936,-6.3211746,"€ 249,950",Terrace
"14 Emerald Square, Dolphin's Barn, Dublin 8",8,54 m²,2 Bed,53.3355176,-6.2908539,"€ 290,000",Terrace
"14 Findlater Street, Stoneybatter, Dublin 7",7,42 m²,2 Bed,53.3521015,-6.2955451,"€ 360,000",Terrace
"14 Galtymore Close, Drimnagh, Dublin 12",12,86 m²,3 Bed,53.3308496,-6.3241601,"€ 390,000",End of Terrace
"14 Glendhu Park, Navan Road, Dublin 7",7,156 m²,4 Bed,53.3748993,-6.3206586,"€ 495,000",Semi-D
"14 Isoldes Tower, Lower Exchange Street, Temple Bar, Dublin 8",8,61 m²,2 Bed,53.3450968,-6.2683925,"€ 395,000",Apartment
"14 Kildonan Avenue, Finglas West, Finglas, Dublin 11",11,100 m²,3 Bed,53.39145,-6.3071744,"€ 259,000",Terrace
"14 Killane Road, East Wall, Dublin 3",3,74 m²,2 Bed,53.3525114,-6.2342761,"€ 315,000",Terrace
"14 Lower Rutland Street, Dublin 1",1,56 m²,2 Bed,53.3549234,-6.252058,"€ 160,000",End of Terrace
"14 Magennis Square, Dublin 2",2,53 m²,2 Bed,53.3450186,-6.2481116,"€ 350,000",Terrace
"14 Melrose Avenue, Fairview, Dublin 3",3,112 m²,3 Bed,53.3651142,-6.2416323,"€ 550,000",Terrace
"14 Melville View, Finglas, Dublin 11",11,60 m²,2 Bed,53.4014922,-6.2945459,"€ 220,000",Apartment
"14 Northbrook Avenue Off Northbrook Road Ranelagh Dublin 6, Ranelagh, Dublin 6",6,116 m²,3 Bed,53.3279244,-6.2554293,"€ 825,000",Terrace
"14 Saint Finbar Road, Cabra West, Cabra, Dublin 7",7,null,4 Bed,53.3698919,-6.2950835,"€ 380,000",Semi-D
"14 Saint Joseph's Avenue, Drumcondra, Dublin 9",9,40 m²,2 Bed,53.3632677,-6.2601398,"€ 315,000",Terrace
"14 Saint Malachy Drive, Greenhills, Walkinstown, Dublin 12",12,108 m²,3 Bed,53.3110377,-6.3332936,"€ 335,000",End of Terrace
"14 Seaview Avenue North, Clontarf, Dublin 3",3,132 m²,3 Bed,53.3630426,-6.2139987,"€ 595,000",Semi-D
"14 Shanowen Drive, Santry, Dublin 9",9,96 m²,3 Bed,53.3889728,-6.2478763,"€ 475,000",Semi-D
"14 The Hall, Scholarstown Wood, Rathfarnham, Dublin 16",16,136 m²,4 Bed,53.2787759,-6.3025357,"€ 595,000",End of Terrace
"140 Kildare Road, Crumlin, Dublin 12",12,null,2 Bed,53.3275812,-6.3037719,"€ 275,000",Terrace
"140 Wyckham Point, Wyckham Way, Dundrum, Dublin 16",16,112 m²,3 Bed,53.2807009,-6.2427837,"€ 650,000",Apartment
"142 Barton Road East, Dundrum, Dublin 14",14,122 m²,3 Bed,53.2887061,-6.246909,"€ 595,000",Semi-D
"142 Kilworth Road, Drimnagh, Dublin 12",12,90 m²,3 Bed,53.3297889,-6.3285026,"€ 350,000",Semi-D
"142 Lucan Road, Chapelizod, Dublin 20",20,333 m²,7 Bed,53.3516859,-6.3537582,"€ 750,000",Semi-D
"143 Malahide Road, Donnycarney, Dublin 3",3,null,3 Bed,53.3742728,-6.2204665,"€ 345,000",Terrace
"143 Millrace Road, Phoenix Park Racecourse, Castleknock, Dublin 15",15,82 m²,2 Bed,53.3722827,-6.3356878,"€ 365,000",Apartment
"143 Shanliss Avenue, Santry, Dublin 9",9,null,3 Bed,53.3969435,-6.2508112,"€ 360,000",Semi-D
"143 Tyrconnell Park, Inchicore, Dublin 8",8,72 m²,3 Bed,53.3384826,-6.3245971,"€ 400,000",Semi-D
"145 Downpatrick Road, Crumlin, Dublin 12",12,null,2 Bed,53.3275812,-6.3037719,"€ 325,000",Terrace
"145 Howth Road, Clontarf, Dublin 3",3,207 m²,4 Bed,53.3691386,-6.20953,"€ 975,000",Detached
"146 Belgrove Park, Mount Prospect Lawn, Clontarf, Dublin 3",3,81 m²,2 Bed,53.3683355,-6.1910597,"€ 390,000",Apartment
"146 Elm Mount Avenue, Beaumont, Dublin 9",9,null,3 Bed,53.3821386,-6.2296329,"€ 449,950",Semi-D
"147 Castleforbes Square, Docklands, Dublin 1",1,70 m²,2 Bed,53.3492724,-6.2314942,"€ 375,000",Apartment
"147 Dargle Wood, Knocklyon, Dublin 16",16,120 m²,4 Bed,53.2815117,-6.3128104,"€ 525,000",Semi-D
"147 Woodbine Park, Raheny, Dublin 5",5,111 m²,3 Bed,53.3874345,-6.1781557,"€ 425,000",Semi-D
"148 Braemor Road, Churchtown, Dublin 14",14,160 m²,5 Bed,53.2913495,-6.2454413,"€ 825,000",Semi-D
"148 Philipsburgh Avenue Fairview Dublin 3, Fairview, Dublin 3",3,null,3 Bed,53.3689451,-6.239019,"€ 450,000",Terrace
"14A Redwood Lawns, Kilnamanagh, Tallaght, Dublin 24",24,95 m²,2 Bed,53.2999623,-6.3662871,"€ 275,000",End of Terrace
"15 Alexandra Walk, Adelaide Square, Whitefriar Street, Dublin 2",2,100 m²,3 Bed,53.2893563,-6.6777065,"€ 595,000",Apartment
"15 Annaly Court, Ongar, Dublin 15",15,63 m²,2 Bed,53.3922492,-6.4341795,"€ 205,000",Apartment
"15 Bannaville, Ranelagh, Dublin 6",6,76 m²,2 Bed,53.3292293,-6.2612007,"€ 490,000",End of Terrace
"15 Bessborough Parade, Rathmines, Dublin 6",6,152 m²,4 Bed,53.3280321,-6.2633411,"€ 895,000",Terrace
"15 Binn Eadair View, Sutton, Dublin 13",13,110 m²,3 Bed,53.3894982,-6.1224701,"€ 475,000",Semi-D
"15 Blackheath Court, Clontarf, Dublin 3",3,88 m²,3 Bed,53.3664911,-6.1967344,"€ 650,000",Terrace
"15 Brighton Gardens, Rathgar, Dublin 6",6,101 m²,2 Bed,53.3128084,-6.2795344,"€ 640,000",Terrace
"15 Carrickmines Chase, Carrickmines Wood, Carrickmines, Dublin 18",18,100 m²,3 Bed,53.2598508,-6.1666877,"€ 550,000",Terrace
"15 Castlegrange Park, Clonsilla, Dublin 15",15,null,3 Bed,53.3979764,-6.429386,"€ 314,950",Terrace
"15 Cherry Drive, Castleknock, Dublin 15",15,null,3 Bed,53.3773797,-6.3885022,"€ 495,000",Semi-D
"15 Cherry Grove, Walkinstown, Dublin 12",12,null,3 Bed,53.3159296,-6.3222261,"€ 420,000",Semi-D
"15 Cherrywood Avenue, Clondalkin, Dublin 22",22,60 m²,3 Bed,53.3210091,-6.4052421,"€ 315,000",Bungalow
"15 Coolgreena Road, Beaumont, Dublin 9",9,119 m²,4 Bed,53.386448,-6.2311743,"€ 345,000",Semi-D
"15 Ely Woods, Ballyboden Road, Ballyboden, Dublin 16",16,63 m²,2 Bed,53.2842769,-6.2967525,"€ 375,000",Apartment
"15 Fernleigh Park, Castleknock, Dublin 15",15,75 m²,2 Bed,53.3738933,-6.4024615,"€ 300,000",Terrace
"15 Hawthorn Walk, Bird Avenue, Clonskeagh, Dublin 14",14,75 m²,2 Bed,53.3072572,-6.2424489,"€ 465,000",Apartment
"15 Kingston Rise, Ballinteer, Dublin 16",16,null,4 Bed,53.2692718,-6.2509486,"€ 695,000",Semi-D
"15 Kingswood Castle, Kingswood, Dublin 22",22,85 m²,3 Bed,53.3113023,-6.3643556,"€ 350,000",Semi-D
"15 Mayeston Rise, Saint Margaret's Road, Finglas, Dublin 11",11,76 m²,2 Bed,53.4062988,-6.285191,"€ 225,000",Apartment
"15 Northbrook Terrace, North Strand, Dublin 3",3,null,3 Bed,53.3570616,-6.2396286,"€ 439,000",Detached
"15 Northbrook Terrace, North Strand, Dublin 3",3,null,3 Bed,53.3570616,-6.2396286,"€ 439,000",Townhouse
"15 Parkside Mews, Balgriffin, Dublin 13",13,105 m²,3 Bed,53.4064665,-6.1674971,"€ 399,000",Semi-D
"15 Parochial Avenue, Baldoyle, Dublin 13",13,null,2 Bed,53.3974313,-6.1273127,"€ 395,000",Terrace
"15 Rutland Place North, North Circular Road, Dublin 7",7,96 m²,2 Bed,53.3569982,-6.2515831,"€ 325,000",Terrace
"15 Shangan Gardens, Santry, Dublin 9",9,11 m²,3 Bed,53.3940003,-6.2556779,"€ 235,000",Terrace
"15 St Brigids Road Upper, Drumcondra, Dublin 9",9,106 m²,2 Bed,53.3691884,-6.2544102,"€ 595,000",Terrace
"15 St Joseph's Avenue, Drumcondra, Dublin 9",9,68 m²,3 Bed,53.3691884,-6.2544102,"€ 395,000",Terrace
"15 The Oval, Tullyvale, D18HN63, Cabinteely, Dublin 18",18,null,2 Bed,53.2479619,-6.1454823,"€ 295,000",Apartment
"15 The Park, Beaumont Woods, Beaumont, Dublin 9",9,117 m²,4 Bed,53.3899124,-6.2298142,"€ 475,000",Semi-D
"15 Warren Crescent, Castleknock, Dublin 15",15,null,3 Bed,53.3727704,-6.3917096,"€ 525,000",Semi-D
"15 West Road, East Wall, Dublin 3",3,70 m²,2 Bed,53.3579064,-6.2362974,"€ 285,000",Terrace
"150 Owens Avenue, Ceannt Fort, Mount Brown, Kilmainham, Dublin 8",8,null,2 Bed,53.3408875,-6.2968713,"€ 450,000",Terrace
"150 Rialto Cottages, Rialto, Dublin 8",8,52 m²,2 Bed,53.337095,-6.296963,"€ 280,000",Terrace
"151 Collinswood, Collins Avenue, Drumcondra, Dublin 3",3,null,3 Bed,53.3815365,-6.2318388,"€ 445,000",Semi-D
"151 Temple Gardens, Northwood, Santry, Dublin 9",9,null,2 Bed,53.4062152,-6.247379,"€ 249,950",Apartment
"152 Ballygall Parade, Finglas East, Finglas, Dublin 11",11,null,4 Bed,53.3888326,-6.294613,"€ 295,000",End of Terrace
"153 Mourne Road, Drimnagh, Dublin 12",12,66 m²,2 Bed,53.3323409,-6.3162337,"€ 320,000",Terrace
"153 New Seskin Court, Tallaght, Dublin 24",24,66 m²,2 Bed,53.2768996,-6.3797237,"€ 295,000",Apartment
"154 Carnlough Road, Cabra West, Cabra, Dublin 7",7,75 m²,3 Bed,53.3660478,-6.2923147,"€ 324,950",Semi-D
"154 Moyville, Rathfarnham, Dublin 14",14,null,3 Bed,53.2772275,-6.2937086,"€ 499,950",Detached
"155 Vernon Avenue, Clontarf, Dublin 3",3,221 m²,4 Bed,53.3683381,-6.1942355,"€ 1,350,000",Detached
"156 Parnell Street, Dublin 1",1,null,12 Bed,53.3531895,-6.2605284,"€ 1,800,000",Detached
"156 Tolka Road, Drumcondra, Dublin 3",3,74 m²,2 Bed,53.3637801,-6.2470451,"€ 325,000",Terrace
"157 Harcourt Green, Charlemont Street, Dublin 2",2,92 m²,3 Bed,53.3312517,-6.2610716,"€ 495,000",Apartment
"157 Inchicore Road, Kilmainham, Dublin 8",8,122 m²,3 Bed,53.3415959,-6.3181488,"€ 495,000",Terrace
"158 Sandyford Road Sandyford Dublin 16, Dundrum, Dublin 16",16,150 m²,4 Bed,53.2794639,-6.2314317,"€ 625,000",Semi-D
"158 The Oval, Block O, Tullyvale, Cabinteely, Dublin 18",18,null,3 Bed,53.2468948,-6.1430582,"€ 375,000",Apartment
"15a Brookwood Crescent, Artane, Dublin 5",5,130 m²,4 Bed,53.3808231,-6.1934218,"€ 495,000",Semi-D
"16 Annaville Park Dundrum Dublin 14, Dundrum, Dublin 14",14,85 m²,3 Bed,53.2900086,-6.2445229,"€ 625,000",Semi-D
"16 Bowbridge, Kilmainham, Dublin 8",8,55 m²,2 Bed,53.3425508,-6.2973055,"€ 345,000",Detached
"16 Butterfield Avenue, Rathfarnham, Dublin 14",14,201 m²,4 Bed,53.2940383,-6.3070349,"€ 1,150,000",Detached
"16 Carlton Mews, Shelbourne Avenue, Ballsbridge, Dublin 4",4,223 m²,5 Bed,53.3331574,-6.2303195,"€ 1,395,000",Semi-D
"16 Castle Grove, KIilgobbin Wood, Sandyford, Dublin 18",18,115 m²,3 Bed,53.2604725,-6.2092101,"€ 495,000",Terrace
"16 Church Avenue South, Rialto, Dublin 8",8,71 m²,2 Bed,53.3359833,-6.2944954,"€ 395,000",Terrace
"16 Cromwellsfort Road, Walkinstown, Dublin 12",12,102 m²,4 Bed,53.3168703,-6.3316004,"€ 445,000",End of Terrace
"16 Dunsoghly Close, Ratoath Road, Finglas, Dublin 11",11,94 m²,3 Bed,53.3904892,-6.3209783,"€ 260,000",Terrace
"16 Elder Heath Park, Kiltipper Road, Tallaght, Dublin 24",24,null,3 Bed,53.2708669,-6.3820392,"€ 359,000",Semi-D
"16 Ferguson Road, Drumcondra, Dublin 9",9,95 m²,3 Bed,53.3709799,-6.2597411,"€ 425,000",End of Terrace
"16 Forest Park, Kingswood, Tallaght, Dublin 24",24,94 m²,3 Bed,53.3071908,-6.3640284,"€ 345,000",Bungalow
"16 Gilford Terrace, Sandymount, Dublin 4",4,44 m²,2 Bed,53.3278892,-6.21089,"€ 495,000",Terrace
"16 Healy Street, Dublin 1",1,60 m²,2 Bed,53.3563448,-6.2524136,"€ 225,000",Terrace
"16 Heuston Square, Inchicore Road, Kilmainham, Dublin 8",8,121 m²,4 Bed,53.34256,-6.3127885,"€ 500,000",End of Terrace
"16 Lanesborough Park, Saint Margaret's Road, Finglas, Dublin 11",11,null,4 Bed,53.403272,-6.2997963,"€ 395,000",Semi-D
"16 Magenta Crescent, Santry, Dublin 9",9,null,3 Bed,53.3956837,-6.2438626,"€ 319,950",Terrace
"16 Maple Lodge, Farmleigh Woods, Castleknock, Dublin 15",15,53 m²,1 Bed,53.367551,-6.3579079,"€ 345,000",Apartment
"16 Pembroke Street, Irishtown, Dublin 4",4,80 m²,2 Bed,53.339742,-6.222204,"€ 545,000",Terrace
"16 River Vale, Rathborne, Ashtown, Dublin 15",15,119 m²,3 Bed,53.3778551,-6.3294364,"€ 385,000",Duplex
"16 Roosevelt Cottages, Navan Road, Dublin 7",7,60 m²,3 Bed,53.3648128,-6.3098343,"€ 395,000",Bungalow
"16 Seskin View Road, Oldbawn, Tallaght, Dublin 24",24,null,3 Bed,53.2803654,-6.3566448,"€ 325,000",Terrace
